match_date,tournament,tournament_level,round,best_of,winner_name,loser_name,winner_hand,loser_hand,winner_rank,loser_rank,w_games_won,l_games_won,w_points_won,l_points_won,w_deuce_games_won,w_deuce_games_played,l_deuce_games_won,l_deuce_games_played,w_first_game_won,winner_won_from_down
2021-01-01,Open Series,OT,SF,5,Felix FRA39,Anna SWE06,R,R,59,36,4,3,33,16,0,0,0,0,0,1
2021-01-01,Open Series,OT,SF,5,Andrei KOR43,Anna TPE15,L,R,41,38,4,3,56,33,0,1,1,1,1,0
2021-01-01,Open Series,OT,QF,5,Pamela KOR25,Lukas USA13,L,R,1,55,3,0,33,6,0,0,0,0,1,0
2021-01-01,Open Series,OT,SF,5,Mima KOR16,Anna BRA04,R,R,46,37,4,3,49,34,1,2,1,2,0,1
2021-01-01,Open Series,OT,R16,5,Anna TPE15,Maria PRT09,R,L,38,48,3,1,40,48,2,2,0,2,1,0
2021-01-01,Open Series,OT,R16,5,Sun SVK11,Ho-Yan PRT59,L,R,40,24,4,3,27,44,0,0,0,0,1,0
2021-01-01,Open Series,OT,R32,5,Chen-Yu FRA47,Wei TPE05,R,R,30,44,3,0,34,20,1,1,0,1,1,0
2021-01-01,Open Series,OT,R64,5,Wei IND35,Lukas USA13,R,R,15,55,3,0,12,33,0,0,0,0,1,0
2021-01-01,Open Series,OT,R16,5,Felix GER26,David AUT57,R,R,52,47,4,3,34,20,0,1,1,1,0,1
2021-01-01,Open Series,OT,F,5,Min CHN56,Pamela TPE30,L,R,2,33,3,0,33,15,0,0,0,0,1,0
2021-01-01,Open Series,OT,SF,5,Sun KOR02,Daniel KOR27,R,R,26,53,3,0,15,33,0,0,0,0,1,0
2021-01-01,Open Series,OT,F,5,Diogo SVK42,Lukas ROU52,R,R,7,27,3,1,24,45,1,1,0,1,1,0
2021-01-01,Open Series,OT,R16,5,Ethan AUT48,Saki PRT14,L,R,16,20,3,2,46,57,1,2,1,2,1,0
2021-01-01,Open Series,OT,SF,5,Chen-Yu TPE23,Ethan AUT48,R,L,8,16,3,1,44,28,0,0,0,0,1,0
2021-01-01,Open Series,OT,R32,5,Wei GER00,Petar ESP24,L,R,21,11,3,1,32,44,0,0,0,0,0,1
2021-01-01,Open Series,OT,SF,5,Aarush PRT28,Saki BRA21,R,R,28,42,3,0,33,17,0,0,0,0,1,0
2021-01-01,Open Series,OT,R32,5,Ethan HKG37,Pamela TPE30,L,R,13,33,3,0,14,33,0,0,0,0,1,0
2021-01-01,Open Series,OT,F,5,Ji-Hee GER29,Ethan AUT48,R,L,4,16,3,0,33,18,0,0,0,0,1,0
2021-01-02,Open Series,OT,R64,5,Wei GER00,Mima IND03,L,L,21,18,3,1,47,31,1,1,0,1,1,0
2021-01-02,Open Series,OT,R64,5,Petar GER08,Petar ESP24,R,R,6,11,3,1,44,31,0,0,0,0,1,0
2021-01-02,Open Series,OT,R64,5,Wei GER00,Ji-Hee GER01,L,R,21,39,3,2,59,46,3,3,0,3,0,1
2021-01-02,Open Series,OT,QF,5,Pamela KOR25,David AUT57,L,R,1,47,3,0,9,33,0,0,0,0,1,0
2021-01-02,Open Series,OT,R64,5,Anna SWE06,Anna BRA04,R,R,36,37,3,2,29,56,1,1,0,1,0,1
2021-01-02,Open Series,OT,R64,5,Yuki GER51,Saki HKG33,R,R,19,51,3,0,6,33,0,0,0,0,1,0
2021-01-02,Open Series,OT,R16,5,Pamela TPE30,Saki HKG33,R,R,33,51,3,1,44,25,0,0,0,0,1,0
2021-01-02,Open Series,OT,SF,5,Wei GER00,Andrei KOR43,L,L,21,41,3,0,18,35,1,1,0,1,1,0
2021-01-02,Open Series,OT,SF,5,Joao KOR20,Min KOR38,R,R,5,31,3,0,33,12,0,0,0,0,1,0
2021-01-02,Open Series,OT,F,5,Saki PRT14,Petar ESP24,R,R,20,11,4,3,44,28,0,0,0,0,0,1
2021-01-02,Open Series,OT,F,5,Diogo SVK42,Min ESP10,R,R,7,58,3,0,33,12,0,0,0,0,1,0
2021-01-02,Open Series,OT,R64,5,Wei AUT36,Min ESP10,R,R,9,58,3,0,6,33,0,0,0,0,1,0
2021-01-02,Open Series,OT,SF,5,Chen-Yu FRA47,Felix PRT22,R,R,30,29,4,3,55,39,0,0,0,0,1,0
2021-01-02,Open Series,OT,R64,5,Yuki GER51,Mima KOR16,R,R,19,46,3,0,11,33,0,0,0,0,1,0
2021-01-02,Open Series,OT,R16,5,Yuki ESP58,Min USA54,R,R,25,60,3,0,10,33,0,0,0,0,1,0
2021-01-02,Open Series,OT,F,5,Wei IND35,Wei PRT31,R,R,15,34,3,0,19,33,0,0,0,0,1,0
2021-01-02,Open Series,OT,R64,5,Aarush PRT28,Daniel PRT17,R,R,28,50,3,0,13,33,0,0,0,0,1,0
2021-01-02,Open Series,OT,R32,5,Anna SWE06,Pawel POL50,R,R,36,56,3,0,33,11,0,0,0,0,1,0
2021-01-02,Open Series,OT,R32,5,Wei IND35,Saki HKG33,R,R,15,51,3,0,13,33,0,0,0,0,1,0
2021-01-03,Open Series,OT,QF,5,Felix PRT22,Petar ESP24,R,R,29,11,4,3,46,33,1,2,1,2,0,1
2021-01-03,Open Series,OT,SF,5,Saki JPN55,Ji-Hee GER01,R,R,10,39,3,0,15,33,0,0,0,0,1,0
2021-01-03,Open Series,OT,SF,5,Min USA45,Lukas ROU52,R,R,17,27,4,3,44,55,0,0,0,0,0,1
2021-01-03,Open Series,OT,R16,5,Saki HKG33,Daniel KOR27,R,R,51,53,3,0,23,33,0,0,0,0,1,0
2021-01-03,Open Series,OT,SF,5,Anders POL53,Anna BRA41,R,R,12,32,3,0,20,34,1,1,0,1,1,0
2021-01-03,Open Series,OT,R32,5,Anna BRA04,Lukas USA13,R,R,37,55,3,0,20,36,1,1,0,1,1,0
2021-01-03,Open Series,OT,R16,5,Petar ESP24,Sun KOR02,R,R,11,26,3,1,44,19,0,0,0,0,1,0
2021-01-03,Open Series,OT,R16,5,Aarush PRT28,Petar GER08,R,R,28,6,4,3,8,33,0,0,0,0,0,1
2021-01-03,Open Series,OT,R32,5,Daniel KOR27,Yuki ESP58,R,R,53,25,4,3,33,17,0,0,0,0,0,1
2021-01-03,Open Series,OT,R32,5,Anna SWE06,Wei GER00,R,L,36,21,4,3,13,33,0,0,0,0,0,1
2021-01-03,Open Series,OT,SF,5,Anders POL53,Pawel POL50,R,R,12,56,3,0,33,8,0,0,0,0,1,0
2021-01-03,Open Series,OT,R64,5,Wei TPE05,Sun USA44,R,R,44,23,4,3,16,33,0,0,0,0,0,1
2021-01-03,Open Series,OT,R32,5,Sun KOR02,Anna BRA04,R,R,26,37,3,0,17,33,0,0,0,0,1,0
2021-01-03,Open Series,OT,F,5,Min KOR38,Anna SWE06,R,R,31,36,3,2,58,43,2,2,0,2,1,0
2021-01-03,Open Series,OT,QF,5,Wei PRT31,Yuki ESP58,R,R,34,25,4,3,33,45,0,1,1,1,0,1
2021-01-04,Open Series,OT,F,5,Wei GER00,David AUT57,L,R,21,47,3,0,12,33,0,0,0,0,1,0
2021-01-04,Open Series,OT,R64,5,Petar ESP24,Saki HKG33,R,R,11,51,3,0,12,33,0,0,0,0,1,0
2021-01-04,Open Series,OT,R16,5,Saki JPN55,Anders POL53,R,R,10,12,4,3,34,56,1,1,0,1,0,1
2021-01-04,Open Series,OT,R64,5,Chen-Yu FRA47,Saki HKG33,R,R,30,51,3,0,33,13,0,0,0,0,1,0
2021-01-04,Open Series,OT,F,5,Wei PRT31,Daniel KOR27,R,R,34,53,3,2,19,55,0,0,0,0,1,0
2021-01-04,Open Series,OT,F,5,Ji-Hee USA18,Felix FRA39,L,R,43,59,3,0,23,33,0,0,0,0,1,0
2021-01-04,Open Series,OT,QF,5,Saki JPN55,Felix PRT22,R,R,10,29,3,0,33,16,0,0,0,0,1,0
2021-01-04,Open Series,OT,R64,5,Chen-Yu FRA47,Pawel POL50,R,R,30,56,3,0,8,33,0,0,0,0,1,0
2021-01-04,Open Series,OT,SF,5,Min KOR38,Chen-Yu FRA47,R,R,31,30,4,3,44,29,0,0,0,0,0,1
2021-01-04,Open Series,OT,R32,5,Andrei KOR43,Sun USA44,L,R,41,23,4,3,34,19,0,1,1,1,0,1
2021-01-05,Open Series,OT,R16,5,Joao KOR20,Daniel PRT17,R,R,5,50,3,0,19,33,0,0,0,0,1,0
2021-01-05,Open Series,OT,SF,5,Petar GER08,Wen-Lin SWE40,R,R,6,54,3,0,33,8,0,0,0,0,1,0
2021-01-05,Open Series,OT,R32,5,Andrei JPN19,Ethan AUT48,R,L,3,16,3,0,33,20,0,0,0,0,1,0
2021-01-05,Open Series,OT,QF,5,Sun SVK11,Min ROU46,L,R,40,45,4,3,60,40,0,2,2,2,1,0
2021-01-05,Open Series,OT,R64,5,David AUT57,Daniel PRT17,R,R,47,50,4,3,44,25,0,0,0,0,1,0
2021-01-05,Open Series,OT,R32,5,Joao KOR20,Ho-Yan PRT59,R,R,5,24,3,0,33,16,0,0,0,0,1,0
2021-01-05,Open Series,OT,F,5,Min USA45,Saki HKG33,R,R,17,51,3,0,13,33,0,0,0,0,1,0
2021-01-05,Open Series,OT,F,5,Min USA54,Felix FRA39,R,R,60,59,4,3,32,44,0,0,0,0,0,1
2021-01-05,Open Series,OT,QF,5,Chen-Yu TPE23,Min KOR38,R,R,8,31,3,0,18,33,0,0,0,0,1,0
2021-01-05,Open Series,OT,R16,5,Lukas ROU52,Aarush TPE32,R,L,27,22,4,3,55,28,0,0,0,0,0,1
2021-01-05,Open Series,OT,F,5,Yuki ESP58,Aarush PRT28,R,R,25,28,4,3,57,40,0,1,1,1,1,0
2021-01-06,Open Series,OT,R64,5,Petar ESP24,Anna BRA41,R,R,11,32,3,0,33,10,0,0,0,0,1,0
2021-01-06,Open Series,OT,F,5,Min ROU46,Min KOR38,R,R,45,31,4,3,33,17,0,0,0,0,0,1
2021-01-06,Open Series,OT,F,5,Mima IND03,Chen-Yu FRA47,L,R,18,30,3,2,36,58,0,1,1,1,0,1
2021-01-06,Open Series,OT,SF,5,Ji-Hee GER29,Felix GER26,R,R,4,52,3,0,6,33,0,0,0,0,1,0
2021-01-06,Open Series,OT,R16,5,David AUT57,Daniel KOR27,R,R,47,53,3,0,33,23,0,0,0,0,1,0
2021-01-06,Open Series,OT,R32,5,Yuki GER51,Maria PRT09,R,L,19,48,3,0,36,17,1,1,0,1,1,0
2021-01-06,Open Series,OT,R16,5,Anna BRA41,Pawel POL50,R,R,32,56,3,0,33,16,0,0,0,0,1,0
2021-01-06,Open Series,OT,QF,5,Min CHN56,Yuki GER51,L,R,2,19,3,0,33,16,0,0,0,0,1,0
2021-01-06,Open Series,OT,R64,5,Felix PRT22,Ji-Hee GER49,R,R,29,57,3,0,33,9,0,0,0,0,1,0
2021-01-06,Open Series,OT,F,5,Petar GER08,Lukas ROU52,R,R,6,27,3,0,33,16,0,0,0,0,1,0
2021-01-06,Open Series,OT,F,5,Anna BRA41,Felix PRT22,R,R,32,29,4,3,32,56,1,1,0,1,1,0
2021-01-06,Open Series,OT,SF,5,Ji-Hee GER29,Min USA54,R,R,4,60,3,0,33,16,0,0,0,0,1,0
2021-01-07,Open Series,OT,R16,5,Joao KOR20,Petar GER08,R,R,5,6,4,3,44,30,0,0,0,0,0,1
2021-01-07,Open Series,OT,R16,5,Ji-Hee USA18,Yuki GER51,L,R,43,19,4,3,17,33,0,0,0,0,0,1
2021-01-07,Open Series,OT,R64,5,Yuki GER51,Anna BRA41,R,R,19,32,3,0,33,21,0,0,0,0,1,0
2021-01-07,Open Series,OT,R64,5,Mima IND03,Saki HKG33,L,R,18,51,3,0,33,11,0,0,0,0,1,0
2021-01-07,Open Series,OT,R16,5,Andrei KOR43,Lukas ROU52,L,R,41,27,4,3,21,33,0,0,0,0,0,1
2021-01-07,Open Series,OT,R64,5,Chen-Yu FRA47,Lukas ROU07,R,L,30,14,4,3,37,56,1,1,0,1,0,1
2021-01-07,Open Series,OT,F,5,Wei IND35,Maria PRT09,R,L,15,48,3,0,19,33,0,0,0,0,1,0
2021-01-07,Open Series,OT,SF,5,Min CHN56,Saki HKG33,L,R,2,51,3,0,10,33,0,0,0,0,1,0
2021-01-07,Open Series,OT,QF,5,Aarush TPE32,Min ROU46,L,R,22,45,3,1,31,46,0,1,1,1,1,0
2021-01-07,Open Series,OT,R16,5,Lukas ROU07,David AUT57,L,R,14,47,3,0,33,6,0,0,0,0,1,0
2021-01-07,Open Series,OT,SF,5,Mima IND03,Yuki ESP58,L,R,18,25,3,1,45,28,0,1,1,1,1,0
2021-01-08,Open Series,OT,SF,5,Ji-Hee GER01,Felix FRA39,R,R,39,59,3,0,16,33,0,0,0,0,1,0
2021-01-08,Open Series,OT,R64,5,Ethan AUT48,Felix GER26,L,R,16,52,3,0,11,33,0,0,0,0,1,0
2021-01-08,Open Series,OT,R32,5,Andrei KOR43,Min ROU46,L,R,41,45,3,0,33,17,0,0,0,0,1,0
2021-01-08,Open Series,OT,R32,5,Ji-Hee USA18,Wei TPE05,L,R,43,44,3,2,35,56,0,1,1,1,0,1
2021-01-08,Open Series,OT,R64,5,Ji-Hee GER01,Pawel POL50,R,R,39,56,3,0,33,15,0,0,0,0,1,0
2021-01-08,Open Series,OT,SF,5,Wei AUT36,Aarush TPE32,R,L,9,22,3,0,25,33,0,0,0,0,1,0
2021-01-08,Open Series,OT,R64,5,Ji-Hee USA18,Ji-Hee GER49,L,R,43,57,3,0,33,15,0,0,0,0,1,0
2021-01-08,Open Series,OT,QF,5,Ji-Hee USA18,Anna TPE15,L,R,43,38,4,3,44,21,0,0,0,0,1,0
2021-01-09,Open Series,OT,F,5,Petar GER08,Saki HKG33,R,R,6,51,3,0,14,33,0,0,0,0,1,0
